dataset,train_steps,n_simulations,forecast_prediction_steps,model,score,score_type,repetition
german,100,1,1,TSMixer,0.014847909,mae,0
german,100,1,10,TSMixer,0.14584447,mae,0
german,100,1,1,VAR,0.005309896,mae,0
german,100,1,10,VAR,0.064334236,mae,0
german,100,1,1,LSTM,0.3850148,mae,0
german,100,1,10,LSTM,0.5879568,mae,0
german,100,1,1,TiDE,0.01135727,mae,0
german,100,1,10,TiDE,0.09675683,mae,0
german,100,1,1,Oracle,0.0036499158,mae,0
german,100,1,10,Oracle,0.014202339,mae,0
german,100,1,1,TSMixer,0.015355194,mae,1
german,100,1,10,TSMixer,0.1440953,mae,1
german,100,1,1,VAR,0.009937367,mae,1
german,100,1,10,VAR,0.018708805,mae,1
german,100,1,1,LSTM,0.28990844,mae,1
german,100,1,10,LSTM,0.38825956,mae,1
german,100,1,1,TiDE,0.01145582,mae,1
german,100,1,10,TiDE,0.097847305,mae,1
german,100,1,1,Oracle,0.0036499158,mae,1
german,100,1,10,Oracle,0.014202339,mae,1
german,100,1,1,TSMixer,0.014243017,mae,2
german,100,1,10,TSMixer,0.1373392,mae,2
german,100,1,1,VAR,0.0053633046,mae,2
german,100,1,10,VAR,0.027965184,mae,2
german,100,1,1,LSTM,0.3903493,mae,2
german,100,1,10,LSTM,0.52792394,mae,2
german,100,1,1,TiDE,0.010879284,mae,2
german,100,1,10,TiDE,0.09361034,mae,2
german,100,1,1,Oracle,0.0036499158,mae,2
german,100,1,10,Oracle,0.014202339,mae,2
german,100,1,1,TSMixer,0.013562349,mae,3
german,100,1,10,TSMixer,0.128782,mae,3
german,100,1,1,VAR,0.0152347535,mae,3
german,100,1,10,VAR,0.05229775,mae,3
german,100,1,1,LSTM,0.4441432,mae,3
german,100,1,10,LSTM,0.5190428,mae,3
german,100,1,1,TiDE,0.010550894,mae,3
german,100,1,10,TiDE,0.08862124,mae,3
german,100,1,1,Oracle,0.0036499158,mae,3
german,100,1,10,Oracle,0.014202339,mae,3
german,100,1,1,TSMixer,0.015031055,mae,4
german,100,1,10,TSMixer,0.1448771,mae,4
german,100,1,1,VAR,0.010372838,mae,4
german,100,1,10,VAR,0.047128785,mae,4
german,100,1,1,LSTM,0.3050662,mae,4
german,100,1,10,LSTM,0.4616363,mae,4
german,100,1,1,TiDE,0.011821236,mae,4
german,100,1,10,TiDE,0.09865673,mae,4
german,100,1,1,Oracle,0.0036499158,mae,4
german,100,1,10,Oracle,0.014202339,mae,4
german,100,1,1,TSMixer,0.014172344,mae,5
german,100,1,10,TSMixer,0.13661087,mae,5
german,100,1,1,VAR,0.004926031,mae,5
german,100,1,10,VAR,0.079266906,mae,5
german,100,1,1,LSTM,0.42010373,mae,5
german,100,1,10,LSTM,0.52836674,mae,5
german,100,1,1,TiDE,0.011271913,mae,5
german,100,1,10,TiDE,0.094519034,mae,5
german,100,1,1,Oracle,0.0036499158,mae,5
german,100,1,10,Oracle,0.014202339,mae,5
german,100,1,1,TSMixer,0.014418104,mae,6
german,100,1,10,TSMixer,0.13777284,mae,6
german,100,1,1,VAR,0.004803462,mae,6
german,100,1,10,VAR,0.11079184,mae,6
german,100,1,1,LSTM,0.5117618,mae,6
german,100,1,10,LSTM,0.5781223,mae,6
german,100,1,1,TiDE,0.010452513,mae,6
german,100,1,10,TiDE,0.090667345,mae,6
german,100,1,1,Oracle,0.0036499158,mae,6
german,100,1,10,Oracle,0.014202339,mae,6
german,100,1,1,TSMixer,0.014256021,mae,7
german,100,1,10,TSMixer,0.13292477,mae,7
german,100,1,1,VAR,0.004519128,mae,7
german,100,1,10,VAR,0.02448347,mae,7
german,100,1,1,LSTM,0.30189487,mae,7
german,100,1,10,LSTM,0.4575903,mae,7
german,100,1,1,TiDE,0.011436367,mae,7
german,100,1,10,TiDE,0.094954684,mae,7
german,100,1,1,Oracle,0.0036499158,mae,7
german,100,1,10,Oracle,0.014202339,mae,7
german,100,1,1,TSMixer,0.014490077,mae,8
german,100,1,10,TSMixer,0.13934174,mae,8
german,100,1,1,VAR,0.009615912,mae,8
german,100,1,10,VAR,0.08909495,mae,8
german,100,1,1,LSTM,0.27242768,mae,8
german,100,1,10,LSTM,0.42033175,mae,8
german,100,1,1,TiDE,0.011344561,mae,8
german,100,1,10,TiDE,0.096639946,mae,8
german,100,1,1,Oracle,0.0036499158,mae,8
german,100,1,10,Oracle,0.014202339,mae,8
german,100,1,1,TSMixer,0.014346464,mae,9
german,100,1,10,TSMixer,0.1389633,mae,9
german,100,1,1,VAR,0.010500072,mae,9
german,100,1,10,VAR,0.039829813,mae,9
german,100,1,1,LSTM,0.30031964,mae,9
german,100,1,10,LSTM,0.5820189,mae,9
german,100,1,1,TiDE,0.010897707,mae,9
german,100,1,10,TiDE,0.09218295,mae,9
german,100,1,1,Oracle,0.0036499158,mae,9
german,100,1,10,Oracle,0.014202339,mae,9
german,500,1,1,TSMixer,0.014070712,mae,0
german,500,1,10,TSMixer,0.1406491,mae,0
german,500,1,1,VAR,0.0038295728,mae,0
german,500,1,10,VAR,0.01637445,mae,0
german,500,1,1,LSTM,0.05195454,mae,0
german,500,1,10,LSTM,0.12876724,mae,0
german,500,1,1,TiDE,0.010999238,mae,0
german,500,1,10,TiDE,0.09363905,mae,0
german,500,1,1,Oracle,0.0036499158,mae,0
german,500,1,10,Oracle,0.014202339,mae,0
german,500,1,1,TSMixer,0.014293045,mae,1
german,500,1,10,TSMixer,0.13953137,mae,1
german,500,1,1,VAR,0.0037445219,mae,1
german,500,1,10,VAR,0.014923942,mae,1
german,500,1,1,LSTM,0.06300252,mae,1
german,500,1,10,LSTM,0.1366314,mae,1
german,500,1,1,TiDE,0.0110338,mae,1
german,500,1,10,TiDE,0.095520824,mae,1
german,500,1,1,Oracle,0.0036499158,mae,1
german,500,1,10,Oracle,0.014202339,mae,1
german,500,1,1,TSMixer,0.013314647,mae,2
german,500,1,10,TSMixer,0.13380569,mae,2
german,500,1,1,VAR,0.0038085377,mae,2
german,500,1,10,VAR,0.015632456,mae,2
german,500,1,1,LSTM,0.04964899,mae,2
german,500,1,10,LSTM,0.13304706,mae,2
german,500,1,1,TiDE,0.011053704,mae,2
german,500,1,10,TiDE,0.09440084,mae,2
german,500,1,1,Oracle,0.0036499158,mae,2
german,500,1,10,Oracle,0.014202339,mae,2
german,500,1,1,TSMixer,0.0128588695,mae,3
german,500,1,10,TSMixer,0.12838994,mae,3
german,500,1,1,VAR,0.003737443,mae,3
german,500,1,10,VAR,0.014793125,mae,3
german,500,1,1,LSTM,0.06792981,mae,3
german,500,1,10,LSTM,0.15428244,mae,3
german,500,1,1,TiDE,0.011020807,mae,3
german,500,1,10,TiDE,0.09157336,mae,3
german,500,1,1,Oracle,0.0036499158,mae,3
german,500,1,10,Oracle,0.014202339,mae,3
german,500,1,1,TSMixer,0.013925714,mae,4
german,500,1,10,TSMixer,0.13829257,mae,4
german,500,1,1,VAR,0.003768153,mae,4
german,500,1,10,VAR,0.01516691,mae,4
german,500,1,1,LSTM,0.069260195,mae,4
german,500,1,10,LSTM,0.18528177,mae,4
german,500,1,1,TiDE,0.010848512,mae,4
german,500,1,10,TiDE,0.09385328,mae,4
german,500,1,1,Oracle,0.0036499158,mae,4
german,500,1,10,Oracle,0.014202339,mae,4
german,500,1,1,TSMixer,0.013248071,mae,5
german,500,1,10,TSMixer,0.13106363,mae,5
german,500,1,1,VAR,0.003745704,mae,5
german,500,1,10,VAR,0.014834843,mae,5
german,500,1,1,LSTM,0.09360704,mae,5
german,500,1,10,LSTM,0.18393753,mae,5
german,500,1,1,TiDE,0.010576794,mae,5
german,500,1,10,TiDE,0.091051124,mae,5
german,500,1,1,Oracle,0.0036499158,mae,5
german,500,1,10,Oracle,0.014202339,mae,5
german,500,1,1,TSMixer,0.013638147,mae,6
german,500,1,10,TSMixer,0.1344899,mae,6
german,500,1,1,VAR,0.0037631048,mae,6
german,500,1,10,VAR,0.014656231,mae,6
german,500,1,1,LSTM,0.05579321,mae,6
german,500,1,10,LSTM,0.20513892,mae,6
german,500,1,1,TiDE,0.010590533,mae,6
german,500,1,10,TiDE,0.09175186,mae,6
german,500,1,1,Oracle,0.0036499158,mae,6
german,500,1,10,Oracle,0.014202339,mae,6
german,500,1,1,TSMixer,0.013798351,mae,7
german,500,1,10,TSMixer,0.1305759,mae,7
german,500,1,1,VAR,0.0038134558,mae,7
german,500,1,10,VAR,0.014710101,mae,7
german,500,1,1,LSTM,0.055756696,mae,7
german,500,1,10,LSTM,0.12529656,mae,7
german,500,1,1,TiDE,0.01061559,mae,7
german,500,1,10,TiDE,0.09203933,mae,7
german,500,1,1,Oracle,0.0036499158,mae,7
german,500,1,10,Oracle,0.014202339,mae,7
german,500,1,1,TSMixer,0.013564227,mae,8
german,500,1,10,TSMixer,0.13562012,mae,8
german,500,1,1,VAR,0.0037950634,mae,8
german,500,1,10,VAR,0.015018403,mae,8
german,500,1,1,LSTM,0.11388361,mae,8
german,500,1,10,LSTM,0.24195765,mae,8
german,500,1,1,TiDE,0.011518145,mae,8
german,500,1,10,TiDE,0.09764641,mae,8
german,500,1,1,Oracle,0.0036499158,mae,8
german,500,1,10,Oracle,0.014202339,mae,8
german,500,1,1,TSMixer,0.013357849,mae,9
german,500,1,10,TSMixer,0.13375558,mae,9
german,500,1,1,VAR,0.003769038,mae,9
german,500,1,10,VAR,0.01445962,mae,9
german,500,1,1,LSTM,0.06619711,mae,9
german,500,1,10,LSTM,0.24008872,mae,9
german,500,1,1,TiDE,0.010285588,mae,9
german,500,1,10,TiDE,0.089178495,mae,9
german,500,1,1,Oracle,0.0036499158,mae,9
german,500,1,10,Oracle,0.014202339,mae,9
german,1000,1,1,TSMixer,0.012645666,mae,0
german,1000,1,10,TSMixer,0.13178077,mae,0
german,1000,1,1,VAR,0.0036915448,mae,0
german,1000,1,10,VAR,0.014290448,mae,0
german,1000,1,1,LSTM,0.02582486,mae,0
german,1000,1,10,LSTM,0.059115328,mae,0
german,1000,1,1,TiDE,0.0115552815,mae,0
german,1000,1,10,TiDE,0.09795554,mae,0
german,1000,1,1,Oracle,0.0036499158,mae,0
german,1000,1,10,Oracle,0.014202339,mae,0
german,1000,1,1,TSMixer,0.013118812,mae,1
german,1000,1,10,TSMixer,0.13018483,mae,1
german,1000,1,1,VAR,0.0036625925,mae,1
german,1000,1,10,VAR,0.014377524,mae,1
german,1000,1,1,LSTM,0.026443304,mae,1
german,1000,1,10,LSTM,0.07737771,mae,1
german,1000,1,1,TiDE,0.010903417,mae,1
german,1000,1,10,TiDE,0.09594629,mae,1
german,1000,1,1,Oracle,0.0036499158,mae,1
german,1000,1,10,Oracle,0.014202339,mae,1
german,1000,1,1,TSMixer,0.012173503,mae,2
german,1000,1,10,TSMixer,0.123989545,mae,2
german,1000,1,1,VAR,0.0037053188,mae,2
german,1000,1,10,VAR,0.014439887,mae,2
german,1000,1,1,LSTM,0.029943239,mae,2
german,1000,1,10,LSTM,0.08093215,mae,2
german,1000,1,1,TiDE,0.010638836,mae,2
german,1000,1,10,TiDE,0.09082145,mae,2
german,1000,1,1,Oracle,0.0036499158,mae,2
german,1000,1,10,Oracle,0.014202339,mae,2
german,1000,1,1,TSMixer,0.0117886765,mae,3
german,1000,1,10,TSMixer,0.11760705,mae,3
german,1000,1,1,VAR,0.003689903,mae,3
german,1000,1,10,VAR,0.014469006,mae,3
german,1000,1,1,LSTM,0.035114247,mae,3
german,1000,1,10,LSTM,0.11267114,mae,3
german,1000,1,1,TiDE,0.010246531,mae,3
german,1000,1,10,TiDE,0.08736014,mae,3
german,1000,1,1,Oracle,0.0036499158,mae,3
german,1000,1,10,Oracle,0.014202339,mae,3
german,1000,1,1,TSMixer,0.012713055,mae,4
german,1000,1,10,TSMixer,0.12582548,mae,4
german,1000,1,1,VAR,0.0036835235,mae,4
german,1000,1,10,VAR,0.014521084,mae,4
german,1000,1,1,LSTM,0.03745546,mae,4
german,1000,1,10,LSTM,0.08232374,mae,4
german,1000,1,1,TiDE,0.010641264,mae,4
german,1000,1,10,TiDE,0.09102013,mae,4
german,1000,1,1,Oracle,0.0036499158,mae,4
german,1000,1,10,Oracle,0.014202339,mae,4
german,1000,1,1,TSMixer,0.0121426545,mae,5
german,1000,1,10,TSMixer,0.12152402,mae,5
german,1000,1,1,VAR,0.0037418818,mae,5
german,1000,1,10,VAR,0.014657298,mae,5
german,1000,1,1,LSTM,0.020673899,mae,5
german,1000,1,10,LSTM,0.06250664,mae,5
german,1000,1,1,TiDE,0.011398021,mae,5
german,1000,1,10,TiDE,0.095475346,mae,5
german,1000,1,1,Oracle,0.0036499158,mae,5
german,1000,1,10,Oracle,0.014202339,mae,5
german,1000,1,1,TSMixer,0.0124106305,mae,6
german,1000,1,10,TSMixer,0.1253858,mae,6
german,1000,1,1,VAR,0.0037332952,mae,6
german,1000,1,10,VAR,0.014294765,mae,6
german,1000,1,1,LSTM,0.02583747,mae,6
german,1000,1,10,LSTM,0.07604189,mae,6
german,1000,1,1,TiDE,0.010322572,mae,6
german,1000,1,10,TiDE,0.090100124,mae,6
german,1000,1,1,Oracle,0.0036499158,mae,6
german,1000,1,10,Oracle,0.014202339,mae,6
german,1000,1,1,TSMixer,0.012655871,mae,7
german,1000,1,10,TSMixer,0.12135994,mae,7
german,1000,1,1,VAR,0.0036705988,mae,7
german,1000,1,10,VAR,0.01484998,mae,7
german,1000,1,1,LSTM,0.03864107,mae,7
german,1000,1,10,LSTM,0.08155392,mae,7
german,1000,1,1,TiDE,0.011120775,mae,7
german,1000,1,10,TiDE,0.09261594,mae,7
german,1000,1,1,Oracle,0.0036499158,mae,7
german,1000,1,10,Oracle,0.014202339,mae,7
german,1000,1,1,TSMixer,0.012646256,mae,8
german,1000,1,10,TSMixer,0.12823938,mae,8
german,1000,1,1,VAR,0.0037276607,mae,8
german,1000,1,10,VAR,0.014625677,mae,8
german,1000,1,1,LSTM,0.06934184,mae,8
german,1000,1,10,LSTM,0.17646796,mae,8
german,1000,1,1,TiDE,0.0110225445,mae,8
german,1000,1,10,TiDE,0.095152505,mae,8
german,1000,1,1,Oracle,0.0036499158,mae,8
german,1000,1,10,Oracle,0.014202339,mae,8
german,1000,1,1,TSMixer,0.012524243,mae,9
german,1000,1,10,TSMixer,0.1266609,mae,9
german,1000,1,1,VAR,0.0037092327,mae,9
german,1000,1,10,VAR,0.014444361,mae,9
german,1000,1,1,LSTM,0.020352552,mae,9
german,1000,1,10,LSTM,0.06541557,mae,9
german,1000,1,1,TiDE,0.011229618,mae,9
german,1000,1,10,TiDE,0.093752764,mae,9
german,1000,1,1,Oracle,0.0036499158,mae,9
german,1000,1,10,Oracle,0.014202339,mae,9
inverted,100,1,1,TSMixer,0.21647587,mae,0
inverted,100,1,10,TSMixer,1.4293618,mae,0
