dataset,train_steps,n_simulations,score_mean,score_type,repetition,future steps
inverted,100,1,0.0005289633309111183,rmse,0,2
inverted,100,1,0.00024416718843466023,rmse,1,2
inverted,100,1,0.001108805797238148,rmse,2,2
inverted,100,1,0.00048802827932683396,rmse,3,2
inverted,100,1,0.00048157032778532033,rmse,4,2
inverted,100,1,0.0002770607109349246,rmse,5,2
inverted,100,1,0.0011360632938674786,rmse,6,2
inverted,100,1,0.0014959636799584189,rmse,7,2
inverted,100,1,0.00029665727501916594,rmse,8,2
inverted,100,1,0.00014057336305693668,rmse,9,2
inverted,500,1,0.00019738587837803828,rmse,0,2
inverted,500,1,0.00017240984568148848,rmse,1,2
inverted,500,1,7.884941479095742e-05,rmse,2,2
inverted,500,1,0.0001641061258146545,rmse,3,2
inverted,500,1,7.257330636306625e-05,rmse,4,2
inverted,500,1,0.000519303568346563,rmse,5,2
inverted,500,1,0.000825396033556143,rmse,6,2
inverted,500,1,0.0010111068783147659,rmse,7,2
inverted,500,1,0.00039570752515687146,rmse,8,2
inverted,500,1,5.079373485863958e-05,rmse,9,2
inverted,1000,1,0.00010124203418072908,rmse,0,2
inverted,1000,1,9.999918051076251e-05,rmse,1,2
inverted,1000,1,0.00011661349294261186,rmse,2,2
inverted,1000,1,0.0002994626636806941,rmse,3,2
inverted,1000,1,1.4895454782976048e-05,rmse,4,2
inverted,1000,1,0.0002856495798941455,rmse,5,2
inverted,1000,1,5.654823633690492e-05,rmse,6,2
inverted,1000,1,0.00015471660142529764,rmse,7,2
inverted,1000,1,0.00028268413538935777,rmse,8,2
inverted,1000,1,2.4514710845004173e-05,rmse,9,2
inverted,100,1,0.0007417040791772385,rmse,0,10
inverted,100,1,0.001009665454466458,rmse,1,10
inverted,100,1,0.001125949688954966,rmse,2,10
inverted,100,1,0.0008212284110684474,rmse,3,10
inverted,100,1,0.0012564432131207783,rmse,4,10
inverted,100,1,0.0012900583651653493,rmse,5,10
inverted,100,1,0.0015936594473042124,rmse,6,10
inverted,100,1,0.0018307900371434904,rmse,7,10
inverted,100,1,0.0003090709603408479,rmse,8,10
inverted,100,1,0.0002544715248564673,rmse,9,10
inverted,500,1,0.00023027056995210667,rmse,0,10
inverted,500,1,0.00031484979459374705,rmse,1,10
inverted,500,1,0.0001822676814170195,rmse,2,10
inverted,500,1,0.0006485087726721874,rmse,3,10
inverted,500,1,0.00025539553756220417,rmse,4,10
inverted,500,1,0.0005291724702677955,rmse,5,10
inverted,500,1,0.0010870666679932447,rmse,6,10
inverted,500,1,0.0010266268992758989,rmse,7,10
inverted,500,1,0.0005509262084970578,rmse,8,10
inverted,500,1,7.33403250550206e-05,rmse,9,10
inverted,1000,1,0.00025271100548845125,rmse,0,10
inverted,1000,1,0.00013682250767041023,rmse,1,10
inverted,1000,1,0.00015406879391669743,rmse,2,10
inverted,1000,1,0.00034124329254705947,rmse,3,10
inverted,1000,1,0.00010090927504574679,rmse,4,10
inverted,1000,1,0.0002910646920907348,rmse,5,10
inverted,1000,1,0.00040158902155905,rmse,6,10
inverted,1000,1,0.0002603534560834222,rmse,7,10
inverted,1000,1,0.0002944276455185896,rmse,8,10
inverted,1000,1,3.0411937165426823e-05,rmse,9,10
inverted,100,1,0.2737878167521274,smape,0,2
inverted,100,1,0.12619325381619576,smape,1,2
inverted,100,1,0.5690861942963467,smape,2,2
inverted,100,1,0.2512774189008917,smape,3,2
inverted,100,1,0.24919639256631632,smape,4,2
inverted,100,1,0.1432180045813628,smape,5,2
inverted,100,1,0.5829943392269125,smape,6,2
inverted,100,1,0.7662694289553074,smape,7,2
inverted,100,1,0.15289441244713056,smape,8,2
inverted,100,1,0.07250853850166004,smape,9,2
inverted,500,1,0.10178292965743788,smape,0,2
inverted,500,1,0.08907377631237094,smape,1,2
inverted,500,1,0.040717059035792535,smape,2,2
inverted,500,1,0.08478010761980963,smape,3,2
inverted,500,1,0.0374749240976309,smape,4,2
inverted,500,1,0.2687745511881631,smape,5,2
inverted,500,1,0.4242453737895725,smape,6,2
inverted,500,1,0.5192033079537404,smape,7,2
inverted,500,1,0.20383993471162745,smape,8,2
inverted,500,1,0.02622558353522813,smape,9,2
inverted,1000,1,0.05223181227507107,smape,0,2
inverted,1000,1,0.051644229506312124,smape,1,2
inverted,1000,1,0.06015733613706876,smape,2,2
inverted,1000,1,0.15481593204342967,smape,3,2
inverted,1000,1,0.0076881439859954465,smape,4,2
inverted,1000,1,0.14766431189053106,smape,5,2
inverted,1000,1,0.029197588315519645,smape,6,2
inverted,1000,1,0.07979787973819928,smape,7,2
inverted,1000,1,0.14570327868194508,smape,8,2
inverted,1000,1,0.012655603661762728,smape,9,2
inverted,100,1,0.1974759433775502,smape,0,10
inverted,100,1,0.2974503039170398,smape,1,10
inverted,100,1,0.16392992577435034,smape,2,10
inverted,100,1,0.23069630831428634,smape,3,10
inverted,100,1,0.3673109726974303,smape,4,10
inverted,100,1,0.3787711842718516,smape,5,10
inverted,100,1,0.4245530389785187,smape,6,10
inverted,100,1,0.4368160611644096,smape,7,10
inverted,100,1,0.05455620823788827,smape,8,10
inverted,100,1,0.07224235468419236,smape,9,10
inverted,500,1,0.0525259175453906,smape,0,10
inverted,500,1,0.09073143786748182,smape,1,10
inverted,500,1,0.053721844249238135,smape,2,10
inverted,500,1,0.18962352155267792,smape,3,10
inverted,500,1,0.07544526969154408,smape,4,10
inverted,500,1,0.06868199992826628,smape,5,10
inverted,500,1,0.2751366519795026,smape,6,10
inverted,500,1,0.1392014125956003,smape,7,10
inverted,500,1,0.14615938926517238,smape,8,10
inverted,500,1,0.019805548139270077,smape,9,10
inverted,1000,1,0.07412692591627275,smape,0,10
inverted,1000,1,0.035943190807930694,smape,1,10
inverted,1000,1,0.03958372380744439,smape,2,10
inverted,1000,1,0.07448469054253606,smape,3,10
inverted,1000,1,0.02917061296009573,smape,4,10
inverted,1000,1,0.03786572377907615,smape,5,10
inverted,1000,1,0.11612334413237371,smape,6,10
inverted,1000,1,0.07374358228876278,smape,7,10
inverted,1000,1,0.048035335382162175,smape,8,10
inverted,1000,1,0.007507491558830677,smape,9,10
inverted,100,1,0.00026448166545555915,mae,0,2
inverted,100,1,0.00012208359421733012,mae,1,2
inverted,100,1,0.000554402898619074,mae,2,2
inverted,100,1,0.00024401413966341698,mae,3,2
inverted,100,1,0.00024078516389266016,mae,4,2
inverted,100,1,0.0001385303554674623,mae,5,2
inverted,100,1,0.0005680316469337393,mae,6,2
inverted,100,1,0.0007479818399792094,mae,7,2
inverted,100,1,0.00014832863750958297,mae,8,2
inverted,100,1,7.028668152846834e-05,mae,9,2
inverted,500,1,9.869293918901914e-05,mae,0,2
inverted,500,1,8.620492284074424e-05,mae,1,2
inverted,500,1,3.942470739547871e-05,mae,2,2
inverted,500,1,8.205306290732725e-05,mae,3,2
inverted,500,1,3.6286653181533124e-05,mae,4,2
inverted,500,1,0.0002596517841732815,mae,5,2
inverted,500,1,0.0004126980167780715,mae,6,2
inverted,500,1,0.0005055534391573829,mae,7,2
inverted,500,1,0.00019785376257843573,mae,8,2
inverted,500,1,2.539686742931979e-05,mae,9,2
inverted,1000,1,5.062101709036454e-05,mae,0,2
inverted,1000,1,4.9999590255381254e-05,mae,1,2
inverted,1000,1,5.830674647130593e-05,mae,2,2
inverted,1000,1,0.00014973133184034704,mae,3,2
inverted,1000,1,7.447727391488024e-06,mae,4,2
inverted,1000,1,0.00014282478994707276,mae,5,2
inverted,1000,1,2.827411816845246e-05,mae,6,2
inverted,1000,1,7.735830071264882e-05,mae,7,2
inverted,1000,1,0.00014134206769467889,mae,8,2
inverted,1000,1,1.2257355422502086e-05,mae,9,2
inverted,100,1,0.00019828764253179422,mae,0,10
inverted,100,1,0.00030151567136606564,mae,1,10
inverted,100,1,0.0001619745406585979,mae,2,10
inverted,100,1,0.0002325875558125183,mae,3,10
inverted,100,1,0.00037254587385610397,mae,4,10
inverted,100,1,0.0003839475171773986,mae,5,10
inverted,100,1,0.00042822833879216094,mae,6,10
inverted,100,1,0.00043820737920985744,mae,7,10
inverted,100,1,5.4112183787220766e-05,mae,8,10
inverted,100,1,7.291459977973244e-05,mae,9,10
inverted,500,1,5.2546808368070244e-05,mae,0,10
inverted,500,1,9.155805982643262e-05,mae,1,10
inverted,500,1,5.434712443364853e-05,mae,2,10
inverted,500,1,0.00019267350018051452,mae,3,10
inverted,500,1,7.65157915493274e-05,mae,4,10
inverted,500,1,6.714186433714534e-05,mae,5,10
inverted,500,1,0.00027633634494869175,mae,6,10
inverted,500,1,0.0001371706281770052,mae,7,10
inverted,500,1,0.00014710635566119734,mae,8,10
inverted,500,1,1.9924728120430947e-05,mae,9,10
inverted,1000,1,7.503359095968331e-05,mae,0,10
inverted,1000,1,3.611351501216914e-05,mae,1,10
inverted,1000,1,3.9760132348035104e-05,mae,2,10
inverted,1000,1,7.433967972652263e-05,mae,3,10
inverted,1000,1,2.9671645135496278e-05,mae,4,10
inverted,1000,1,3.705785643158474e-05,mae,5,10
inverted,1000,1,0.0001180327776412915,mae,6,10
inverted,1000,1,7.441365368646702e-05,mae,7,10
inverted,1000,1,4.753603160493336e-05,mae,8,10
inverted,1000,1,7.525560076100668e-06,mae,9,10
